103.127.18.39:0	192.168.13.30-192.168.13.30(0:0)
103.127.18.38:0	192.168.12.27-192.168.12.27(0:0)
103.127.18.15:0	192.168.13.22-192.168.13.22(0:0)
103.127.18.20:0	192.168.13.31-192.168.13.31(0:0)
103.127.18.25:0	192.168.12.22-192.168.12.22(0:0)
103.127.18.16:0	192.168.12.23-192.168.12.23(0:0)
103.127.18.31:0	192.168.12.16-192.168.12.16(0:0)
103.127.18.30:0	192.168.12.13-192.168.12.13(0:0)
192.168.13.10:0	103.127.18.2-103.127.18.2(0:0)
192.168.12.200:0	103.127.18.1-103.127.18.1(0:0)
192.168.13.11:0	103.127.18.3-103.127.18.3(0:0)
192.168.13.201:0	103.127.18.4-103.127.18.4(0:0)
192.168.13.13:0	103.127.18.5-103.127.18.5(0:0)
192.168.13.171:0	103.127.18.6-103.127.18.6(0:0)
192.168.13.14:0	103.127.18.7-103.127.18.7(0:0)
192.168.13.15:0	103.127.18.8-103.127.18.8(0:0)
192.168.13.16:0	103.127.18.9-103.127.18.9(0:0)
192.168.13.17:0	103.127.18.10-103.127.18.10(0:0)
192.168.13.18:0	103.127.18.11-103.127.18.11(0:0)
192.168.13.19:0	103.127.18.12-103.127.18.12(0:0)
192.168.12.15:0	103.127.18.13-103.127.18.13(0:0)
192.168.12.10:0	103.127.18.14-103.127.18.14(0:0)
192.168.13.32:0	103.127.18.37-103.127.18.37(0:0)
192.168.13.20:0	103.127.18.19-103.127.18.19(0:0)
192.168.12.14:0	103.127.18.17-103.127.18.17(0:0)
192.168.12.17:0	103.127.18.21-103.127.18.21(0:0)
192.168.12.19:0	103.127.18.22-103.127.18.22(0:0)
192.168.12.20:0	103.127.18.23-103.127.18.23(0:0)
192.168.12.21:0	103.127.18.24-103.127.18.24(0:0)
192.168.13.23:0	103.127.18.26-103.127.18.26(0:0)
192.168.13.24:0	103.127.18.27-103.127.18.27(0:0)
192.168.13.203:0	103.127.18.28-103.127.18.28(0:0)
0.0.0.0:0	103.127.18.32-103.127.18.32(0:0)
0.0.0.0:0	192.168.12.25-192.168.12.25(0:0)
192.168.13.25:0	103.127.18.29-103.127.18.29(0:0)
192.168.13.27:0	103.127.18.33-103.127.18.33(0:0)
192.168.13.28:0	103.127.18.34-103.127.18.34(0:0)
192.168.12.203:0	103.127.18.35-103.127.18.35(0:0)
192.168.50.244:0	103.127.18.244-103.127.18.244(0:0)
192.168.50.243:0	103.127.18.243-103.127.18.243(0:0)
192.168.13.29:0	103.127.18.36-103.127.18.36(0:0)
192.168.50.91:0	103.127.18.91-103.127.18.91(0:0)
192.168.50.92:0	103.127.18.92-103.127.18.92(0:0)
192.168.50.93:0	103.127.18.93-103.127.18.93(0:0)
192.168.50.245:0	103.127.18.245-103.127.18.245(0:0)
192.168.50.246:0	103.127.18.246-103.127.18.246(0:0)
192.168.50.94:0	103.127.18.94-103.127.18.94(0:0)
192.168.50.95:0	103.127.18.95-103.127.18.95(0:0)
192.168.50.96:0	103.127.18.96-103.127.18.96(0:0)
192.168.50.97:0	103.127.18.97-103.127.18.97(0:0)
192.168.50.98:0	103.127.18.98-103.127.18.98(0:0)
192.168.50.99:0	103.127.18.99-103.127.18.99(0:0)
192.168.50.100:0	103.127.18.100-103.127.18.100(0:0)
192.168.50.141:0	103.127.18.141-103.127.18.141(0:0)
192.168.50.101:0	103.127.18.101-103.127.18.101(0:0)
192.168.50.102:0	103.127.18.102-103.127.18.102(0:0)
192.168.50.103:0	103.127.18.103-103.127.18.103(0:0)
192.168.13.104:0	103.127.18.104-103.127.18.104(0:0)
192.168.50.106:0	103.127.18.106-103.127.18.106(0:0)
192.168.50.107:0	103.127.18.107-103.127.18.107(0:0)
192.168.50.108:0	103.127.18.108-103.127.18.108(0:0)
192.168.50.109:0	103.127.18.109-103.127.18.109(0:0)
192.168.50.110:0	103.127.18.110-103.127.18.110(0:0)
192.168.50.111:0	103.127.18.111-103.127.18.111(0:0)
192.168.50.112:0	103.127.18.112-103.127.18.112(0:0)
192.168.50.113:0	103.127.18.113-103.127.18.113(0:0)
